Serial Number,Error Type,Ungrammatical Statement,Standard English
1906,Infinitive Errors,The speaker tried to clearly convey his message.,The speaker tried to convey his message clearly.
1907,Infinitive Errors,She advised to always think positively.,She advised to think always positively.
1908,Infinitive Errors,The hikers decided to gradually climb the mountain.,The hikers decided to climb the mountain gradually.
1909,Infinitive Errors,"To properly dispose of waste, use the recycling bins.","To dispose of waste properly, use the recycling bins."
1910,Infinitive Errors,The students aimed to collaboratively work on the project.,The students aimed to work collaboratively on the project.
1911,Infinitive Errors,She told him to quietly enter the room.,She told him to enter the room quietly.
1912,Infinitive Errors,The photographer wanted to artistically capture the scene.,The photographer wanted to capture the scene artistically.
1913,Infinitive Errors,The coach instructed to aggressively play defense.,The coach instructed to play defense aggressively.
1914,Infinitive Errors,The company needed to rapidly adapt to the market changes.,The company needed to adapt rapidly to the market changes.
1915,Infinitive Errors,He decided to strongly voice his opinion.,He decided to voice his opinion strongly.
1916,Infinitive Errors,The researchers aimed to objectively analyze the data.,The researchers aimed to analyze the data objectively.
1917,Infinitive Errors,She wanted to passionately advocate for her cause.,She wanted to advocate passionately for her cause.
1918,Infinitive Errors,"To securely store your passwords, use a password manager.","To store your passwords securely, use a password manager."
1919,Gerund and Participle Errors,I enjoy to read books.,I enjoy reading books.
1920,Gerund and Participle Errors,She is exciting about the trip.,She is excited about the trip.
1921,Gerund and Participle Errors,He is interested on learning Spanish.,He is interested in learning Spanish.
1922,Gerund and Participle Errors,The children were so bore at the museum.,The children were so bored at the museum.
1923,Gerund and Participle Errors,He is talented for playing the guitar.,He is talented at playing the guitar.
1924,Gerund and Participle Errors,The scientist studied the organism's adapt to their environment.,The scientist studied the organisms' adaptation to their environment.
1925,Gerund and Participle Errors,The project was cancel due to a lack of funding.,The project was canceled due to a lack of funding.
1926,Gerund and Participle Errors,He was annoy by the constant noise.,He was annoyed by the constant noise.
1927,Gerund and Participle Errors,The athlete's success was attributable to his dedicate to his training.,The athlete's success was attributable to his dedication to his training.
1928,Gerund and Participle Errors,It's essential to brush your teeth twice a day for prevent cavities.,It's essential to brush your teeth twice a day to prevent cavities.
1929,Gerund and Participle Errors,I prefer cook at home instead of eating out.,I prefer cooking at home instead of eating out.
1930,Gerund and Participle Errors,He was disappoint with his exam results.,He was disappointed with his exam results.
1931,Gerund and Participle Errors,"The rain caused the street to flood, result in a traffic jam.","The rain caused the street to flood, resulting in a traffic jam."
1932,Gerund and Participle Errors,She is obsessed with collect vintage clothing.,She is obsessed with collecting vintage clothing.
1933,Gerund and Participle Errors,The journalist was criticized for misrepresent the facts.,The journalist was criticized for misrepresenting the facts.
1934,Gerund and Participle Errors,I appreciate your help with organize the event.,I appreciate your help with organizing the event.
1935,Gerund and Participle Errors,The company is committed to reduce its carbon footprint.,The company is committed to reducing its carbon footprint.
1936,Gerund and Participle Errors,The teacher was impressed by the student's improve in math.,The teacher was impressed by the student's improvement in math.
1937,Gerund and Participle Errors,I am look forward to meet you in person.,I am looking forward to meeting you in person.
1938,Gerund and Participle Errors,The dog was punished for chew the furniture.,The dog was punished for chewing the furniture.
1939,Gerund and Participle Errors,The politician was accused of corrupt and bribery.,The politician was accused of corruption and bribery.
1940,Gerund and Participle Errors,The girl was embarass to admit she had never seen the movie.,The girl was embarrassed to admit she had never seen the movie.
1941,Gerund and Participle Errors,The boy's parents were concerned about his frequent lying.,The boy's parents were concerned about his frequent lies.
1942,Gerund and Participle Errors,The manager had a reputation for being very demand.,The manager had a reputation for being very demanding.
1943,Gerund and Participle Errors,The team was congratulate on their victory.,The team was congratulated on their victory.
1944,Gerund and Participle Errors,The artist is known for his innovate use of color.,The artist is known for his innovative use of color.
1945,Gerund and Participle Errors,The company's sales have been decline in recent months.,The company's sales have been declining in recent months.
1946,Gerund and Participle Errors,I am sorry for disturb you at this late hour.,I am sorry for disturbing you at this late hour.
1947,Gerund and Participle Errors,She had a difficult time make a decision.,She had a difficult time making a decision.
1948,Gerund and Participle Errors,The students were instructed to proofread their papers for avoid errors.,The students were instructed to proofread their papers to avoid errors.
1949,Gerund and Participle Errors,The broken window was a result of the children's careless play.,The broken window was a result of the children's careless playing.
1950,Gerund and Participle Errors,They are considering to move to a new city for better job opportunities.,They are considering moving to a new city for better job opportunities.
1951,Gerund and Participle Errors,The movie was criticize for its lack of character development.,The movie was criticized for its lack of character development.
1952,Gerund and Participle Errors,The athlete was disqualify for using performance-enhancing drugs.,The athlete was disqualified for using performance-enhancing drugs.
1953,Gerund and Participle Errors,The company's success was due to its invest in new technologies.,The company's success was due to its investment in new technologies.
1954,Gerund and Participle Errors,The parents were worried about their child's safety on the playground.,The parents were worried about their child's safe play on the playground.
1955,Gerund and Participle Errors,The chef's signature dish is made by roast vegetables and herbs.,The chef's signature dish is made by roasting vegetables and herbs.
1956,Gerund and Participle Errors,The students were encourage to ask questions during the lecture.,The students were encouraged to ask questions during the lecture.
1957,Gerund and Participle Errors,The police officer's quick think saved the hostage's life.,The police officer's quick thinking saved the hostage's life.
1958,Gerund and Participle Errors,The flowers in the garden were wilt due to the heat.,The flowers in the garden were wilting due to the heat.
1959,Gerund and Participle Errors,The book's success was due to the author's unique write style.,The book's success was due to the author's unique writing style.
1960,Gerund and Participle Errors,The traveler was amaze by the beauty of the landscape.,The traveler was amazed by the beauty of the landscape.
1961,Gerund and Participle Errors,The doctor advised the patient to quit smoke.,The doctor advised the patient to quit smoking.
1962,Gerund and Participle Errors,The company was fined for pollute the river.,The company was fined for polluting the river.
1963,Gerund and Participle Errors,The engineer's primary responsibility was to design the bridge.,The engineer's primary responsibility was designing the bridge.
